dokumen,Prediksi,Actual
19,0,0
171,1,1
108,1,1
99,1,1
178,1,1
183,0,0
6,1,1
147,1,1
13,1,0
153,0,0
62,1,0
126,1,1
181,1,0
155,0,0
81,1,0
8,0,0
34,1,0
131,1,1
38,1,0
75,1,0
184,1,0
146,1,1
46,1,0
160,1,0
61,1,0
124,1,1
180,1,1
186,1,0
123,1,1
45,1,0
17,1,0
56,1,0
151,0,0
112,0,1
23,0,0
190,1,0
130,1,1
5,1,1
84,1,0
107,1,1
135,1,1
67,0,0
27,1,0
114,1,1
169,1,1
64,1,0
9,1,0
76,1,0
119,1,1
144,1,1
72,1,0
125,0,1
185,1,0
98,1,0
150,1,1
25,1,0
31,1,0
161,1,0
41,1,0
57,1,0
132,0,1
97,1,0
182,1,0
20,0,0
154,0,0
93,1,1
55,1,0
164,1,0
52,1,0
87,1,0
140,1,1
91,1,1
138,1,1
102,1,0
145,0,1
90,1,0
110,1,1
15,1,0
28,1,0
142,1,1
188,1,0
47,1,0
139,1,1
196,1,1
109,1,1
63,1,0
3,1,0
60,0,0
137,1,1
198,1,1
44,1,0
11,1,1
195,0,1
74,0,0
197,1,1
179,1,1
176,1,1
127,1,1
94,0,0
113,0,1
