dokumen,Prediksi,Actual
19,0,0
171,1,1
108,1,1
99,1,1
178,1,1
183,1,0
6,0,1
147,1,1
13,0,0
153,0,0
62,0,0
126,1,1
181,1,0
155,0,0
81,1,0
8,1,0
34,1,0
131,1,1
38,0,0
75,1,0
184,1,0
146,1,1
46,0,0
160,1,0
61,0,0
124,1,1
180,1,1
186,1,0
123,1,1
45,0,0
17,0,0
56,0,0
151,0,0
112,0,1
23,0,0
190,1,0
130,1,1
5,1,1
84,0,0
107,1,1
135,1,1
67,0,0
27,1,0
114,1,1
169,1,1
64,0,0
9,1,0
76,0,0
119,1,1
144,1,1
72,0,0
125,1,1
185,0,0
98,1,0
150,0,1
25,0,0
31,0,0
161,1,0
41,1,0
57,0,0
132,0,1
97,1,0
182,1,0
20,0,0
154,0,0
93,1,1
55,0,0
164,1,0
52,1,0
87,1,0
140,1,1
91,1,1
138,1,1
102,0,0
145,1,1
90,0,0
110,1,1
15,1,0
28,0,0
142,1,1
