Fitur;chi_sqr
menteri;0.9821950057073873
gempa;0.7854438469599855
tsunami;0.7616104494181294
kabupaten;0.7343958014005978
perda;0.7253638407070875
rusak;0.7017792192971446
presiden;0.5282063060467792
unesco;0.3646637428815305
preman;0.3269384289626923
kampanye;0.1751863229074676
sampah;0.14923240167041865
perintah;0.1445911773373492
macet;0.10742002101201806
banjir;0.08754550495915392
longsor;0.08039768465511797
polisi;0.06615409156862032
bupati;0.04990998755487836
infrastruktur;0.04869012804257731
camat;0.03736313623875554
korban;0.02626932699182897
gubernur;0.019128818360040212
kerjasama;0.016587985732852206
pemkab;0.01000000339985325
pemprov;0.0056418783282604626
ekonomi;0.0014213962544293035
pidana;0
kebakaran;0
pergub;0
pemilu;0
